001600.096,,,0,,
001601.096,,,0,,
001603.000,,,0,,
001604.000,4044.4454,07410.7527,1,184.2,
001605.000,4044.4441,07410.7535,1,184.2,
001606.000,4044.4435,07410.7541,1,184.2,
001606.216,4044.4466,07410.7515,1,184.4,
001608.000,4044.4481,07410.7509,1,184.5,
001609.000,4044.4487,07410.7509,1,184.6,
001610.000,4044.4490,07410.7507,1,184.6,
001611.000,4044.4494,07410.7504,1,184.6,
001612.000,4044.4496,07410.7505,1,184.6,
001612.211,4044.4496,07410.7506,1,184.6,
001614.000,4044.4498,07410.7507,1,184.6,
001615.000,4044.4500,07410.7508,1,184.7,
001616.000,4044.4499,07410.7511,1,184.7,
001617.000,4044.4501,07410.7512,1,184.6,
001618.000,4044.4502,07410.7512,1,184.6,
001618.211,4044.4503,07410.7512,1,184.6,
001620.000,4044.4504,07410.7513,1,184.6,
001621.000,4044.4508,07410.7511,1,184.6,
001622.000,4044.4510,07410.7511,1,184.6,
001623.000,4044.4512,07410.7510,1,184.6,
001624.000,4044.4514,07410.7510,1,184.6,
001624.215,4044.4515,07410.7510,1,184.6,
001626.000,4044.4516,07410.7509,1,184.6,
001627.000,4044.4519,07410.7509,1,184.6,
001628.000,4044.4522,07410.7508,1,184.5,
001629.000,4044.4525,07410.7508,1,184.5,
001630.000,4044.4527,07410.7508,1,184.5,
001630.214,4044.5048,07410.7384,1,60.8,
001632.000,4044.5049,07410.7384,1,60.8,
001633.000,4044.5050,07410.7386,1,60.7,
001634.000,4044.5048,07410.7387,1,60.7,
001635.000,4044.5047,07410.7387,1,60.6,
001636.000,4044.5046,07410.7385,1,60.8,
001637.000,4044.5043,07410.7383,1,60.8,
001638.000,4044.5040,07410.7383,1,60.8,
001639.000,4044.5038,07410.7383,1,60.9,


